"Gene_name";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"diffexpressed"
"198";"Gpr146";1097.231;-1.47;0.101;-14.533;0;0;"Downregulated"
"199";"Tmem130";55.765;1.527;0.327;4.676;0;0;"Upregulated"
"200";"Tmem140";1710.422;1.276;0.099;12.941;0;0;"Upregulated"
"201";"Creb3l2";2624.801;1.958;0.073;26.696;0;0;"Upregulated"
"202";"ENSMUSG00000120732";876.534;1.11;0.115;9.693;0;0;"Upregulated"
"203";"Ephb6";754.856;1.793;0.094;19.163;0;0;"Upregulated"
"204";"Nobox";197.2;-1.344;0.19;-7.077;0;0;"Downregulated"
"205";"Atp6v0e2";447.916;-1.068;0.117;-9.149;0;0;"Downregulated"
"206";"Gimap8";85.137;5.888;0.508;11.587;0;0;"Upregulated"
"207";"Gpnmb";150.511;-1.18;0.215;-5.483;0;0;"Downregulated"
"208";"Creb5";1063.391;-1.105;0.117;-9.466;0;0;"Downregulated"
"209";"Gadd45a";4317.214;1.296;0.069;18.827;0;0;"Upregulated"
"210";"Fbln2";52064.633;1.032;0.046;22.589;0;0;"Upregulated"
